section id,recording id,timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm]
85d674fd-5049-4b37-8304-824fcac9c857,621dd354-1234-422a-ae17-2552d3d1e97c,1762169161233730585,3.5718,3.6747,-30.7812,15.125,-39.1562,32.1562,18.5938,-39.8125,-0.0828,-0.1203,0.9893,-0.1691,-0.129,0.9771,0.4836,-0.3928,9.6358,0.5347,-0.2812,8.9763
85d674fd-5049-4b37-8304-824fcac9c857,621dd354-1234-422a-ae17-2552d3d1e97c,1762169161238730585,3.6324,3.7702,-30.6875,15.0,-39.25,32.2188,18.4375,-39.875,-0.0829,-0.1145,0.99,-0.1663,-0.1252,0.9781,0.4551,-0.4041,9.4405,0.5137,-0.2905,8.8415
85d674fd-5049-4b37-8304-824fcac9c857,621dd354-1234-422a-ae17-2552d3d1e97c,1762169161243739585,3.5828,3.5295,-31.0,15.1875,-39.1875,31.9062,18.7188,-39.4688,-0.0682,-0.1281,0.9894,-0.1556,-0.1368,0.9783,0.5039,-0.3831,9.7551,0.5254,-0.2634,8.6754
85d674fd-5049-4b37-8304-824fcac9c857,621dd354-1234-422a-ae17-2552d3d1e97c,1762169161248730585,3.5975,3.6563,-30.6562,15.1875,-38.9375,32.2812,18.5938,-40.125,-0.0799,-0.1203,0.9895,-0.1586,-0.131,0.9786,0.4629,-0.3875,9.3433,0.54,-0.2856,9.0855
85d674fd-5049-4b37-8304-824fcac9c857,621dd354-1234-422a-ae17-2552d3d1e97c,1762169161253730585,3.6563,3.6545,-30.8125,14.875,-39.25,32.125,18.375,-39.625,-0.0849,-0.1048,0.9909,-0.1704,-0.1155,0.9786,0.4443,-0.4128,9.4182,0.5073,-0.3069,8.9504
85d674fd-5049-4b37-8304-824fcac9c857,621dd354-1234-422a-ae17-2552d3d1e97c,1762169161258733585,3.6251,3.6967,-30.75,14.9688,-39.0938,32.2188,18.2812,-39.8125,-0.08,-0.1048,0.9913,-0.1666,-0.1145,0.9794,0.4512,-0.4087,9.4484,0.4956,-0.3181,8.9425
85d674fd-5049-4b37-8304-824fcac9c857,621dd354-1234-422a-ae17-2552d3d1e97c,1762169161263731585,3.5847,3.6159,-30.8125,15.1562,-39.0625,32.125,18.375,-39.8438,-0.0712,-0.1155,0.9908,-0.1558,-0.1261,0.9797,0.4819,-0.3892,9.5759,0.5137,-0.3062,9.0138
85d674fd-5049-4b37-8304-824fcac9c857,621dd354-1234-422a-ae17-2552d3d1e97c,1762169161268731585,3.5369,3.671,-30.75,15.0,-39.0312,32.2188,18.4062,-40.1875,-0.08,-0.1096,0.9907,-0.1425,-0.1223,0.9822,0.4507,-0.4043,9.394,0.5298,-0.3005,9.1337
85d674fd-5049-4b37-8304-824fcac9c857,621dd354-1234-422a-ae17-2552d3d1e97c,1762169161273731585,3.5938,3.7261,-30.7812,14.9688,-39.0,32.1562,18.3125,-39.625,-0.0772,-0.1019,0.9918,-0.1704,-0.1126,0.9789,0.4524,-0.4016,9.3832,0.498,-0.3066,8.8433
85d674fd-5049-4b37-8304-824fcac9c857,621dd354-1234-422a-ae17-2552d3d1e97c,1762169161278731585,3.6085,3.6949,-30.6875,15.0312,-39.0312,32.25,18.4062,-40.1875,-0.0819,-0.1116,0.9904,-0.153,-0.1223,0.9806,0.4517,-0.3992,9.3479,0.5342,-0.2937,9.108
