section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427121157113,684.992,499.54,1,,,-8.38074382105701,7.260814733165302
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427126158113,684.48,500.453,1,,,-8.413227318264212,7.201855548908337
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427131157113,680.172,506.32,1,,,-8.68837932419938,6.822371566522315
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427136158113,681.116,508.318,1,,,-8.625725292497004,6.694242557457189
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427141161113,680.813,508.016,1,,,-8.645577811264351,6.713550057792924
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427146158113,681.299,507.671,1,,,-8.614329743063161,6.735989699887666
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427151158113,680.828,508.655,1,,,-8.644165029264846,6.672413684955177
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427156158113,681.222,515.716,1,,,-8.613807270612776,6.218242806830863
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427161159113,682.309,511.774,1,,,-8.546008012982954,6.472337902436816
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427166163113,682.188,504.905,1,,,-8.558695031183845,6.914354528727363
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427171158113,682.444,502.575,1,,,-8.543790453220316,7.064364831890995
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427176158113,681.446,505.932,1,,,-8.606028436618741,6.847928658655631
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427181158113,682.457,509.098,1,,,-8.538253955585839,6.64465434414169
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427186158113,681.693,508.829,1,,,-8.587971462850748,6.661597405832731
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427191158113,678.633,507.385,1,,,-8.787401785647274,6.753183874372359
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427196158113,677.685,507.514,1,,,-8.84874698318029,6.744491386528165
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427201158113,685.857,496.929,1,,,-8.326546078150564,7.429240240274958
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427206163113,685.155,505.519,1,,,-8.365787019755375,6.876087078434949
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427211158113,682.088,508.39,1,,,-8.562640558261462,6.690024109367657
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427216158113,681.392,508.41,1,,,-8.60775700129269,6.688429166003162
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427221158113,678.162,510.79,1,,,-8.815479490461058,6.533898993097762
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427226159113,679.79,509.07,1,,,-8.711139073704055,6.645295964902917
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427231159113,680.95,509.38,1,,,-8.63572399946527,6.625836239869297
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427236171113,681.487,509.827,1,,,-8.600633143389757,6.597318577442872
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427241163113,679.954,509.166,1,,,-8.700469482139384,6.639196785374427
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427246159113,681.036,511.866,1,1,,-8.628427607738887,6.46590989696582
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427251284113,680.034,510.624,1,1,,-8.694247636590887,6.54539929599397
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427256284113,680.744,513.745,1,1,,-8.646065147665707,6.34487392773908
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427261284113,682.408,514.595,1,1,,-8.537656962757703,6.29082788617424
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427266292113,685.41,513.749,1,1,,-8.343689834214873,6.346482833575808
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427271284113,683.872,515.302,1,1,,-8.44234135864234,6.245945909644519
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427276288113,684.731,513.943,1,1,,-8.387554976840093,6.333720028930074
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427281284113,684.257,514.333,1,1,,-8.418010478887256,6.308439002370226
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427286284113,686.327,515.059,1,1,,-8.2834171861301,6.2625354958736805
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427291284113,681.782,514.369,1,1,,-8.578430195828203,6.305121489863673
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427296284113,687.616,518.187,1,1,,-8.197923168259045,6.061620165681898
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427301284113,687.402,520.493,1,1,,-8.210375310622847,5.9130620611262374
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427306288113,692.226,516.79,1,1,,-7.900027301731688,6.153291865101393
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427311288113,690.722,516.402,1,1,,-7.997706994431081,6.177684373461379
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427316285113,690.903,518.324,1,1,,-7.984838951894059,6.054029649239548
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427321284113,687.911,513.821,1,1,,-8.181498664060106,6.342830717657045
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427326291113,688.117,516.023,1,1,,-8.166773508798347,6.201131600654751
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427331292113,687.675,517.193,1,1,,-8.194676182393147,6.125678234531555
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427336285113,686.878,518.117,1,1,,-8.245805441879906,6.065860033740642
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427341285113,686.653,518.6,1,1,,-8.260058998842952,6.034676777493472
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427346285113,686.338,518.216,1,1,,-8.280733438893371,6.059283808904576
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427351285113,687.405,522.684,1,1,,-8.208881563115032,5.771986711455274
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427356285113,688.773,518.747,1,1,,-8.122599063195256,6.026024858724508
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427361285113,689.493,518.792,1,1,,-8.075942637065934,6.023363229291871
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427366286113,689.325,519.851,1,1,,-8.08618213525189,5.9550912771808004
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427371285113,689.253,523.755,1,1,,-8.08856053685796,5.703654915264987
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427376285113,687.686,523.98,1,1,,-8.189969548005276,5.688650933523124
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427381285113,688.892,523.578,1,1,,-8.11204595388631,5.714968111961989
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427386288113,687.119,524.808,1,1,,-8.226179407118954,5.635108288313211
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427391294113,687.52,525.717,1,1,,-8.19971141346674,5.576708794349239
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427396410113,690.883,527.695,1,1,,-7.980881001230465,5.450464017775224
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427401410113,691.35,531.803,1,1,,-7.948501134766962,5.185980936601273
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427406414113,691.368,529.433,1,1,,-7.948532957774577,5.33867587533492
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427411410113,693.834,528.928,1,1,,-7.789104355319298,5.37197015254584
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427416411113,691.009,531.882,1,1,,-7.970542408890818,5.180811403309534
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427421410113,691.674,534.729,1,1,,-7.926075575157913,4.997577543101104
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427426411113,693.512,533.423,1,1,,-7.807735984157557,5.082279564542165
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427431411113,698.653,528.932,1,1,,-7.477014388216614,5.373186249197794
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427436411113,696.62,530.813,1,1,,-7.607750556423722,5.251380375190014
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427441411113,694.009,527.3,1,1,,-7.778586038432226,5.476933252126819
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427446411113,694.575,531.686,1,1,,-7.7397584106224455,5.194545353246591
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427451411113,692.732,529.065,1,1,,-7.860388659665528,5.362772951128063
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427456411113,693.122,527.99,1,1,,-7.8356694183747635,5.432179971857879
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427461411113,694.171,535.495,1,1,,-7.764044749135076,4.949007917771218
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427466411113,689.17,538.082,1,1,,-8.086529440543332,4.780853489901114
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427471411113,689.047,534.019,1,1,,-8.096481365846415,5.042566827781744
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427476411113,689.509,534.427,1,1,,-8.066346245247825,5.016429868605229
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427481411113,693.398,535.375,1,1,,-7.814120739744111,4.956519966213695
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427486411113,691.965,533.747,1,1,,-7.907684071682674,5.060965694312062
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427491411113,691.088,536.278,1,1,,-7.963249732068537,4.897631094252974
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427496411113,692.499,536.507,1,1,,-7.871777472599928,4.883314591079003
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427501411113,690.991,534.838,1,1,,-7.970194067853754,4.990395507607104
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427506411113,693.581,535.238,1,1,,-7.802368414951319,4.965389524323226
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427511412113,694.769,535.827,1,1,,-7.725212761431853,4.927753752246824
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427516412113,697.75,532.617,1,1,,-7.5337196087376075,5.135467460129676
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427521411113,699.08,532.755,1,1,,-7.447544004590549,5.1269531550159595
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427526537113,700.697,534.655,1,1,,-7.341939447431371,5.004920355477883
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427531538113,690.366,540.246,1,1,,-8.008130442967232,4.641836936274473
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427536537113,693.364,542.284,1,1,,-7.813202298933909,4.511301877395528
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427541537113,693.434,539.25,1,1,,-7.81002375863192,4.706795991960641
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427546537113,700.343,538.133,1,1,,-7.363309602523979,4.780687486924794
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427551537113,699.137,540.47,1,1,,-7.440385233387757,4.629739199511593
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427556537113,700.815,538.361,1,1,,-7.3326792764839235,4.766081521936271
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427561537113,685.504,544.795,1,1,,-8.32062218551128,4.347439724160112
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427566541113,684.276,542.505,1,1,,-8.401141478887373,4.494568276024486
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427571548113,689.376,540.655,1,1,,-8.071968885603189,4.615185501122953
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427576537113,691.347,541.259,1,1,,-7.944186559202416,4.576797307880926
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427581540113,691.306,540.73,1,1,,-7.947069094316197,4.610910686003589
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427586537113,692.27,541.373,1,1,,-7.884436466667473,4.569717381312257
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427591537113,692.782,542.149,1,1,,-7.850921243582282,4.5198429184478055
be9ed91a-5827-43e4-afcf-1532591e3047,6bcb73c0-59ef-4d8b-bb42-7aff1f70c5cd,1762169427596541113,690.911,543.415,1,1,,-7.971481084550382,4.43778937907735
