section id,recording id,timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm]
d798ebd6-74a7-4b1b-8eff-12718bd5b38c,c7444d62-4c3b-47c7-9aa7-163b041289ff,1760088746192477252,3.7702,3.3513,-30.6875,15.9375,-40.875,32.3125,18.0938,-39.875,0.0151,-0.099,0.995,-0.0897,-0.1038,0.9905,0.5083,-0.408,10.0816,0.4543,-0.2896,8.1645
d798ebd6-74a7-4b1b-8eff-12718bd5b38c,c7444d62-4c3b-47c7-9aa7-163b041289ff,1760088746202477252,3.7243,3.3642,-30.6875,15.8125,-40.75,32.3125,17.9688,-40.0938,0.017,-0.0941,0.9954,-0.0849,-0.099,0.9915,0.48,-0.4192,9.8882,0.4487,-0.3015,8.2335
d798ebd6-74a7-4b1b-8eff-12718bd5b38c,c7444d62-4c3b-47c7-9aa7-163b041289ff,1760088746207489252,3.7519,3.4101,-30.75,16.3125,-40.5625,32.25,18.5,-40.0312,0.0247,-0.1329,0.9908,-0.0681,-0.1387,0.988,0.5356,-0.3669,9.9343,0.501,-0.2358,8.097
d798ebd6-74a7-4b1b-8eff-12718bd5b38c,c7444d62-4c3b-47c7-9aa7-163b041289ff,1760088746212477252,3.7261,3.3734,-30.6875,16.2812,-40.6875,32.3125,18.375,-40.0625,0.0198,-0.129,0.9914,-0.074,-0.1358,0.988,0.52,-0.3682,9.7714,0.4868,-0.2551,8.1497
d798ebd6-74a7-4b1b-8eff-12718bd5b38c,c7444d62-4c3b-47c7-9aa7-163b041289ff,1760088746217478252,3.7335,3.3844,-30.6875,16.0938,-40.5625,32.2812,18.2812,-39.8125,0.0257,-0.1145,0.9931,-0.0847,-0.1184,0.9893,0.5063,-0.3928,9.8911,0.4829,-0.262,8.181
d798ebd6-74a7-4b1b-8eff-12718bd5b38c,c7444d62-4c3b-47c7-9aa7-163b041289ff,1760088746222477252,3.7041,3.3936,-30.6875,16.2188,-40.5,32.3125,18.25,-40.125,0.0208,-0.1155,0.9931,-0.077,-0.1184,0.99,0.5205,-0.384,9.9531,0.48,-0.2649,8.1803
d798ebd6-74a7-4b1b-8eff-12718bd5b38c,c7444d62-4c3b-47c7-9aa7-163b041289ff,1760088746227478252,3.6894,3.4836,-30.6875,16.25,-40.375,32.3125,18.375,-40.1875,0.0267,-0.1203,0.9924,-0.0712,-0.1252,0.9896,0.5142,-0.3872,9.9167,0.4993,-0.2517,8.2521
d798ebd6-74a7-4b1b-8eff-12718bd5b38c,c7444d62-4c3b-47c7-9aa7-163b041289ff,1760088746232478252,3.682,3.3403,-30.6875,16.125,-40.5938,32.2812,18.25,-39.9062,0.016,-0.1155,0.9932,-0.0818,-0.1223,0.9891,0.5132,-0.394,9.9817,0.4749,-0.2681,8.1577
d798ebd6-74a7-4b1b-8eff-12718bd5b38c,c7444d62-4c3b-47c7-9aa7-163b041289ff,1760088746237478252,3.7225,3.3844,-30.75,16.0625,-40.6562,32.2812,18.1875,-40.0,0.0247,-0.1116,0.9934,-0.0712,-0.1155,0.9908,0.5078,-0.4043,10.0353,0.4648,-0.2734,8.1046
d798ebd6-74a7-4b1b-8eff-12718bd5b38c,c7444d62-4c3b-47c7-9aa7-163b041289ff,1760088746242478252,3.7849,3.4358,-30.6562,16.375,-40.5,32.375,18.4062,-40.0625,0.0237,-0.1281,0.9915,-0.0904,-0.1329,0.987,0.5449,-0.3684,10.0555,0.5034,-0.2476,8.2532
d798ebd6-74a7-4b1b-8eff-12718bd5b38c,c7444d62-4c3b-47c7-9aa7-163b041289ff,1760088746247478252,3.6784,3.3532,-30.6875,16.3125,-40.375,32.2812,18.4062,-39.9375,0.0315,-0.1252,0.9916,-0.0866,-0.129,0.9879,0.5264,-0.3804,9.9785,0.5054,-0.2444,8.2403
d798ebd6-74a7-4b1b-8eff-12718bd5b38c,c7444d62-4c3b-47c7-9aa7-163b041289ff,1760088746252478252,3.7996,3.4358,-30.625,16.2188,-40.4375,32.4062,18.25,-40.0625,0.016,-0.1126,0.9935,-0.0876,-0.1184,0.9891,0.5093,-0.3877,9.8671,0.4873,-0.2568,8.174
d798ebd6-74a7-4b1b-8eff-12718bd5b38c,c7444d62-4c3b-47c7-9aa7-163b041289ff,1760088746257481252,3.6784,3.3293,-30.6562,16.1875,-40.5312,32.3438,18.3125,-39.9375,0.0208,-0.1223,0.9923,-0.0875,-0.1281,0.9879,0.5176,-0.3816,9.8929,0.4829,-0.2505,8.0548
