section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
1c058701-ea60-4686-9220-5e0a034d2ad6,90e21ea2-25d1-4118-82a7-c5f018d728af,1760514991819609449,754.486,952.468,1,,,-4.039589985422892,-21.911524453450706
1c058701-ea60-4686-9220-5e0a034d2ad6,90e21ea2-25d1-4118-82a7-c5f018d728af,1760514991824607449,775.312,935.944,1,,,-2.6153261615654038,-20.86168661453132
1c058701-ea60-4686-9220-5e0a034d2ad6,90e21ea2-25d1-4118-82a7-c5f018d728af,1760514991829607449,769.838,931.715,1,,,-2.9809981653349342,-20.588256009613115
1c058701-ea60-4686-9220-5e0a034d2ad6,90e21ea2-25d1-4118-82a7-c5f018d728af,1760514991834607449,770.858,937.65,1,,,-2.9172259686752207,-20.969460329013923
1c058701-ea60-4686-9220-5e0a034d2ad6,90e21ea2-25d1-4118-82a7-c5f018d728af,1760514991839607449,767.951,941.234,1,,,-3.116632913727903,-21.198108990117667
1c058701-ea60-4686-9220-5e0a034d2ad6,90e21ea2-25d1-4118-82a7-c5f018d728af,1760514991844615449,783.523,966.932,1,,,-2.0814591178108532,-22.85229908704095
1c058701-ea60-4686-9220-5e0a034d2ad6,90e21ea2-25d1-4118-82a7-c5f018d728af,1760514991849617449,812.576,937.417,1,,,-0.10189359510587483,-20.962684704288577
1c058701-ea60-4686-9220-5e0a034d2ad6,90e21ea2-25d1-4118-82a7-c5f018d728af,1760514991854607449,803.194,955.371,1,,,-0.7394752061097677,-22.11440403491003
1c058701-ea60-4686-9220-5e0a034d2ad6,90e21ea2-25d1-4118-82a7-c5f018d728af,1760514991859607449,808.646,957.221,1,,,-0.3699421036609202,-22.233429018620456
1c058701-ea60-4686-9220-5e0a034d2ad6,90e21ea2-25d1-4118-82a7-c5f018d728af,1760514991864607449,808.052,960.547,1,,,-0.41081789931247087,-22.446759325641814
1c058701-ea60-4686-9220-5e0a034d2ad6,90e21ea2-25d1-4118-82a7-c5f018d728af,1760514991869607449,807.463,960.414,1,,,-0.4507767275780272,-22.438196047457396
1c058701-ea60-4686-9220-5e0a034d2ad6,90e21ea2-25d1-4118-82a7-c5f018d728af,1760514991874607449,814.883,954.405,1,,,0.05338931212341612,-22.052710639890485
1c058701-ea60-4686-9220-5e0a034d2ad6,90e21ea2-25d1-4118-82a7-c5f018d728af,1760514991879607449,808.014,956.902,1,,,-0.4128064221670719,-22.21291557370781
1c058701-ea60-4686-9220-5e0a034d2ad6,90e21ea2-25d1-4118-82a7-c5f018d728af,1760514991884618449,814.321,957.689,1,,,0.015136602648043078,-22.263382615029446
1c058701-ea60-4686-9220-5e0a034d2ad6,90e21ea2-25d1-4118-82a7-c5f018d728af,1760514991889607449,801.459,964.246,1,,,-0.8598194477912546,-22.683644139130102
1c058701-ea60-4686-9220-5e0a034d2ad6,90e21ea2-25d1-4118-82a7-c5f018d728af,1760514991894610449,800.467,968.509,1,,,-0.9286340126951447,-22.95704599427211
1c058701-ea60-4686-9220-5e0a034d2ad6,90e21ea2-25d1-4118-82a7-c5f018d728af,1760514991899607449,803.548,970.413,1,,,-0.719348140252129,-23.07950794103995
1c058701-ea60-4686-9220-5e0a034d2ad6,90e21ea2-25d1-4118-82a7-c5f018d728af,1760514991904607449,800.193,971.775,1,,,-0.9484069063428712,-23.1665096821253
1c058701-ea60-4686-9220-5e0a034d2ad6,90e21ea2-25d1-4118-82a7-c5f018d728af,1760514991909736449,814.129,964.494,1,,,0.0018306320198238563,-22.699960815112153
1c058701-ea60-4686-9220-5e0a034d2ad6,90e21ea2-25d1-4118-82a7-c5f018d728af,1760514991914733449,813.186,950.122,1,,,-0.061446032413454074,-21.777965871204284
1c058701-ea60-4686-9220-5e0a034d2ad6,90e21ea2-25d1-4118-82a7-c5f018d728af,1760514991919745449,815.339,950.936,1,,,0.08437936896291215,-21.830075266922016
1c058701-ea60-4686-9220-5e0a034d2ad6,90e21ea2-25d1-4118-82a7-c5f018d728af,1760514991924733449,817.536,954.823,1,,,0.2332772587149352,-22.079349334546805
1c058701-ea60-4686-9220-5e0a034d2ad6,90e21ea2-25d1-4118-82a7-c5f018d728af,1760514991929733449,815.326,961.004,1,,,0.08333435225842548,-22.47602827839419
