section id,recording id,timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm]
4f267594-96e5-4969-84f8-417c04045618,b3765975-64a4-4e42-b897-01b5f8e34afa,1760607953360116499,3.7372,3.6416,-31.0938,15.9688,-39.6562,31.875,18.875,-40.5625,-0.0611,-0.1706,0.9835,-0.1155,-0.1811,0.9767,0.5068,-0.3569,9.4983,0.5562,-0.2539,8.9187
4f267594-96e5-4969-84f8-417c04045618,b3765975-64a4-4e42-b897-01b5f8e34afa,1760607953365116499,3.8107,3.5938,-30.9375,16.0625,-39.75,32.0,19.0,-40.2812,-0.082,-0.1811,0.98,-0.139,-0.1917,0.9716,0.5088,-0.3447,9.3851,0.5806,-0.2416,9.0604
4f267594-96e5-4969-84f8-417c04045618,b3765975-64a4-4e42-b897-01b5f8e34afa,1760607953370125499,3.7849,3.4193,-31.0938,15.9688,-39.6562,31.8906,18.875,-40.125,-0.0601,-0.1686,0.9838,-0.1365,-0.1792,0.9743,0.5044,-0.3445,9.3329,0.5503,-0.2494,8.8026
4f267594-96e5-4969-84f8-417c04045618,b3765975-64a4-4e42-b897-01b5f8e34afa,1760607953375116499,3.9025,3.4873,-31.25,16.0938,-39.8438,31.7188,19.125,-39.9062,-0.0647,-0.1869,0.9802,-0.1408,-0.1965,0.9704,0.54,-0.3291,9.565,0.5698,-0.2284,8.7936
4f267594-96e5-4969-84f8-417c04045618,b3765975-64a4-4e42-b897-01b5f8e34afa,1760607953380127499,3.8143,3.4873,-31.0,15.875,-39.5625,31.9688,18.7188,-40.4375,-0.0602,-0.16,0.9853,-0.131,-0.1686,0.9769,0.4863,-0.3535,9.2297,0.5498,-0.2722,9.0481
4f267594-96e5-4969-84f8-417c04045618,b3765975-64a4-4e42-b897-01b5f8e34afa,1760607953385118499,3.8401,3.4873,-31.125,16.3125,-39.5,31.8125,19.1875,-40.0625,-0.0569,-0.1974,0.9787,-0.1329,-0.2051,0.9697,0.5366,-0.3132,9.351,0.5933,-0.2126,8.8875
4f267594-96e5-4969-84f8-417c04045618,b3765975-64a4-4e42-b897-01b5f8e34afa,1760607953390121499,3.8143,3.5773,-31.0938,15.9062,-39.75,31.8594,18.75,-40.375,-0.063,-0.1657,0.9842,-0.1184,-0.1763,0.9772,0.4983,-0.3391,9.2048,0.5444,-0.2583,8.8343
4f267594-96e5-4969-84f8-417c04045618,b3765975-64a4-4e42-b897-01b5f8e34afa,1760607953395117499,3.7996,3.3973,-31.4062,16.0625,-39.6562,31.5625,18.875,-39.9062,-0.0399,-0.1734,0.984,-0.1183,-0.1811,0.9763,0.5298,-0.3406,9.576,0.5371,-0.2469,8.6266
4f267594-96e5-4969-84f8-417c04045618,b3765975-64a4-4e42-b897-01b5f8e34afa,1760607953400125499,3.8143,3.4891,-31.0938,15.9062,-39.6875,31.9062,18.75,-40.3125,-0.0631,-0.1629,0.9846,-0.1309,-0.1734,0.9761,0.4956,-0.3457,9.2475,0.541,-0.2773,9.0051
4f267594-96e5-4969-84f8-417c04045618,b3765975-64a4-4e42-b897-01b5f8e34afa,1760607953405242499,3.8768,3.513,-31.0625,15.9375,-39.5,31.9062,18.875,-40.25,-0.0553,-0.1677,0.9843,-0.1318,-0.1763,0.9755,0.4951,-0.343,9.2123,0.5552,-0.2527,8.8942
4f267594-96e5-4969-84f8-417c04045618,b3765975-64a4-4e42-b897-01b5f8e34afa,1760607953410242499,3.8254,3.5001,-31.125,15.9062,-39.625,31.8438,18.75,-40.3125,-0.0583,-0.1629,0.9849,-0.1243,-0.1715,0.9773,0.4917,-0.3557,9.3144,0.541,-0.2668,8.8896
4f267594-96e5-4969-84f8-417c04045618,b3765975-64a4-4e42-b897-01b5f8e34afa,1760607953415242499,3.7372,3.5994,-31.2188,16.0,-39.75,31.75,18.9375,-40.5,-0.0552,-0.1782,0.9824,-0.1096,-0.1888,0.9759,0.5181,-0.3391,9.4275,0.5625,-0.2476,8.9209
