section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
273934c9-35f3-4c53-ad96-31acc53ee91b,1b7c6dc4-e981-462f-8686-defc45b9ae53,1760608444512551311,677.785,454.867,1,,,-8.890974177851023,10.129170252221009
273934c9-35f3-4c53-ad96-31acc53ee91b,1b7c6dc4-e981-462f-8686-defc45b9ae53,1760608444517551311,677.837,454.133,1,,,-8.888461521696502,10.176414255436194
273934c9-35f3-4c53-ad96-31acc53ee91b,1b7c6dc4-e981-462f-8686-defc45b9ae53,1760608444522551311,677.193,449.494,1,,,-8.935741171707608,10.473929354054002
273934c9-35f3-4c53-ad96-31acc53ee91b,1b7c6dc4-e981-462f-8686-defc45b9ae53,1760608444527551311,675.494,449.815,1,,,-9.046182416410613,10.452144232580189
273934c9-35f3-4c53-ad96-31acc53ee91b,1b7c6dc4-e981-462f-8686-defc45b9ae53,1760608444532676311,674.51,449.576,1,,,-9.110682545587927,10.46683763719054
273934c9-35f3-4c53-ad96-31acc53ee91b,1b7c6dc4-e981-462f-8686-defc45b9ae53,1760608444537685311,676.302,446.519,1,,,-8.997395676558067,10.664401274024451
273934c9-35f3-4c53-ad96-31acc53ee91b,1b7c6dc4-e981-462f-8686-defc45b9ae53,1760608444542676311,678.668,445.06,1,,,-8.84473829594717,10.759746129348088
273934c9-35f3-4c53-ad96-31acc53ee91b,1b7c6dc4-e981-462f-8686-defc45b9ae53,1760608444547676311,676.597,444.94,1,,,-8.980051529268954,10.766032087065447
273934c9-35f3-4c53-ad96-31acc53ee91b,1b7c6dc4-e981-462f-8686-defc45b9ae53,1760608444552676311,676.538,443.718,1,,,-8.985358316678445,10.844475122656041
273934c9-35f3-4c53-ad96-31acc53ee91b,1b7c6dc4-e981-462f-8686-defc45b9ae53,1760608444557676311,676.732,441.614,1,,,-8.97529103135847,10.97969700061932
273934c9-35f3-4c53-ad96-31acc53ee91b,1b7c6dc4-e981-462f-8686-defc45b9ae53,1760608444562678311,675.743,442.252,1,,,-9.03911376630772,10.937987130212328
273934c9-35f3-4c53-ad96-31acc53ee91b,1b7c6dc4-e981-462f-8686-defc45b9ae53,1760608444567677311,675.042,442.367,1,,,-9.084715784495707,10.930129524253305
