section id,recording id,timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm]
2819a78e-e5c3-429c-a0ab-ceff2d54a73c,981666b4-eb2e-4d79-9ab9-7637903f28e5,1760608482816556555,3.7519,2.9471,-31.7188,15.3438,-38.8125,31.2812,17.8438,-39.25,-0.0355,0.2469,0.9684,-0.1329,0.2356,0.9627,-0.0797,-0.6885,6.7886,-0.044,-0.6357,6.5705
2819a78e-e5c3-429c-a0ab-ceff2d54a73c,981666b4-eb2e-4d79-9ab9-7637903f28e5,1760608482821560555,3.7151,2.993,-31.5312,15.5938,-38.8438,31.4844,18.125,-39.0938,-0.0575,0.228,0.972,-0.1383,0.2156,0.9666,-0.0426,-0.6519,6.7715,-0.012,-0.6011,6.5228
2819a78e-e5c3-429c-a0ab-ceff2d54a73c,981666b4-eb2e-4d79-9ab9-7637903f28e5,1760608482826556555,3.75,3.1492,-31.5625,15.625,-38.7188,31.4219,18.0,-39.3125,-0.0385,0.2289,0.9727,-0.1411,0.2165,0.966,-0.0435,-0.646,6.6942,-0.0114,-0.6011,6.5301
2819a78e-e5c3-429c-a0ab-ceff2d54a73c,981666b4-eb2e-4d79-9ab9-7637903f28e5,1760608482831556555,3.761,3.1474,-31.75,15.6875,-38.7812,31.2344,18.0938,-39.4688,-0.0205,0.2213,0.975,-0.128,0.2108,0.9691,-0.0298,-0.6538,6.9332,0.0014,-0.5806,6.4362
2819a78e-e5c3-429c-a0ab-ceff2d54a73c,981666b4-eb2e-4d79-9ab9-7637903f28e5,1760608482836556555,3.6141,3.1749,-32.0312,15.5,-38.3125,31.0,17.875,-39.3125,0.0289,0.2393,0.9705,-0.0935,0.2308,0.9685,-0.0539,-0.6782,6.9521,-0.0161,-0.5977,6.4398
2819a78e-e5c3-429c-a0ab-ceff2d54a73c,981666b4-eb2e-4d79-9ab9-7637903f28e5,1760608482841556555,3.6251,3.1529,-31.7188,15.5938,-38.2812,31.2812,18.0,-39.3125,0.0005,0.2412,0.9705,-0.1199,0.2318,0.9654,-0.0387,-0.6636,6.9482,-0.0004,-0.5913,6.5379
2819a78e-e5c3-429c-a0ab-ceff2d54a73c,981666b4-eb2e-4d79-9ab9-7637903f28e5,1760608482846556555,3.4652,3.0041,-31.5,15.4688,-38.3125,31.5,17.875,-39.0,-0.0175,0.245,0.9694,-0.1433,0.2356,0.9612,-0.0433,-0.6841,7.1352,-0.0235,-0.6245,6.6658
2819a78e-e5c3-429c-a0ab-ceff2d54a73c,981666b4-eb2e-4d79-9ab9-7637903f28e5,1760608482851556555,3.5406,3.0537,-31.6875,15.5,-38.2812,31.3281,17.9375,-38.875,-0.0147,0.246,0.9692,-0.1273,0.2356,0.9635,-0.035,-0.6792,7.1693,-0.0171,-0.6206,6.6906
2819a78e-e5c3-429c-a0ab-ceff2d54a73c,981666b4-eb2e-4d79-9ab9-7637903f28e5,1760608482856566555,3.4322,2.9636,-31.5625,15.6875,-38.2812,31.4375,18.0625,-39.0,-0.0223,0.2318,0.9725,-0.1428,0.2232,0.9643,-0.0192,-0.6479,6.9811,0.0024,-0.5903,6.5577
2819a78e-e5c3-429c-a0ab-ceff2d54a73c,981666b4-eb2e-4d79-9ab9-7637903f28e5,1760608482861556555,3.5442,3.1676,-31.5625,15.4375,-38.375,31.4688,17.8125,-39.0938,-0.0232,0.2479,0.9685,-0.1347,0.2393,0.9615,-0.0386,-0.6865,7.214,-0.0151,-0.6338,6.8639
