section id,recording id,timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm]
b376766c-a836-42e4-a2b5-98f291c16ad4,f7ec9b04-74e4-4c32-b3e4-744bf453d50d,1760608878011930300,3.524,3.1363,-31.1875,14.7188,-38.8125,31.8594,17.375,-39.625,-0.0552,0.1782,0.9824,-0.1425,0.1677,0.9755,0.2404,-0.5928,9.186,0.2112,-0.5332,8.1899
b376766c-a836-42e4-a2b5-98f291c16ad4,f7ec9b04-74e4-4c32-b3e4-744bf453d50d,1760608878016931300,3.5534,2.9857,-31.2812,14.9688,-39.125,31.7344,17.6562,-39.625,-0.0574,0.1561,0.9861,-0.1421,0.1435,0.9794,0.2791,-0.5698,9.3504,0.2466,-0.4988,8.1903
b376766c-a836-42e4-a2b5-98f291c16ad4,f7ec9b04-74e4-4c32-b3e4-744bf453d50d,1760608878021931300,3.524,3.1749,-31.375,15.1562,-38.875,31.6406,17.7812,-39.625,-0.042,0.1484,0.988,-0.125,0.1358,0.9828,0.2979,-0.5527,9.3637,0.2603,-0.49,8.2417
b376766c-a836-42e4-a2b5-98f291c16ad4,f7ec9b04-74e4-4c32-b3e4-744bf453d50d,1760608878026931300,3.5755,3.2025,-31.25,14.75,-38.9062,31.7344,17.5,-39.4688,-0.0581,0.1811,0.9817,-0.1395,0.1715,0.9753,0.252,-0.5864,9.2411,0.2156,-0.5186,8.0727
b376766c-a836-42e4-a2b5-98f291c16ad4,f7ec9b04-74e4-4c32-b3e4-744bf453d50d,1760608878031931300,3.5516,3.1584,-31.3125,15.0312,-38.875,31.6875,17.6562,-39.9062,-0.0477,0.1609,0.9858,-0.1132,0.1484,0.9824,0.29,-0.5635,9.3994,0.2549,-0.5024,8.3227
b376766c-a836-42e4-a2b5-98f291c16ad4,f7ec9b04-74e4-4c32-b3e4-744bf453d50d,1760608878036931300,3.5277,3.1492,-31.0938,14.875,-38.8125,31.9375,17.5625,-39.5,-0.0687,0.1705,0.9829,-0.1607,0.1609,0.9738,0.2571,-0.5742,9.1586,0.2408,-0.5225,8.3941
b376766c-a836-42e4-a2b5-98f291c16ad4,f7ec9b04-74e4-4c32-b3e4-744bf453d50d,1760608878041931300,3.5681,3.1419,-31.2812,14.7188,-38.9375,31.7188,17.4688,-39.75,-0.0466,0.183,0.982,-0.1233,0.1725,0.9773,0.2512,-0.5942,9.322,0.2388,-0.5127,8.2612
b376766c-a836-42e4-a2b5-98f291c16ad4,f7ec9b04-74e4-4c32-b3e4-744bf453d50d,1760608878046941300,3.5791,3.1455,-31.4062,14.6875,-39.0938,31.6406,17.4688,-39.8125,-0.0552,0.1811,0.9819,-0.1186,0.1696,0.9784,0.2478,-0.6001,9.3513,0.2336,-0.5142,8.2214
b376766c-a836-42e4-a2b5-98f291c16ad4,f7ec9b04-74e4-4c32-b3e4-744bf453d50d,1760608878051931300,3.5406,3.1272,-31.125,14.9375,-38.7812,31.9062,17.5625,-39.9062,-0.0582,0.1725,0.9833,-0.135,0.16,0.9778,0.2527,-0.5669,9.0271,0.2325,-0.5186,8.2589
b376766c-a836-42e4-a2b5-98f291c16ad4,f7ec9b04-74e4-4c32-b3e4-744bf453d50d,1760608878056931300,3.5571,3.1345,-31.125,14.6875,-38.8125,31.875,17.3438,-39.625,-0.057,0.1898,0.9802,-0.1451,0.1763,0.9736,0.2272,-0.5957,9.0746,0.2096,-0.5483,8.3438
