section id,recording id,timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm]
6a48f94a-71f6-485e-b5f4-1a8636d8f195,546eea6e-2d98-494a-b55b-d6dfce905636,1762767665102960889,3.8364,4.1083,-30.9375,16.125,-37.4062,32.125,17.3125,-38.0938,0.0697,0.0561,0.996,0.0024,0.0493,0.9988,0.2375,-0.4944,8.0416,0.2808,-0.4631,8.1661
6a48f94a-71f6-485e-b5f4-1a8636d8f195,546eea6e-2d98-494a-b55b-d6dfce905636,1762767665107960889,3.8511,4.0164,-31.1875,16.3125,-37.4375,31.875,17.4688,-37.9375,0.0843,0.0366,0.9958,0.0102,0.0308,0.9995,0.2595,-0.4761,8.0774,0.2864,-0.448,8.0585
6a48f94a-71f6-485e-b5f4-1a8636d8f195,546eea6e-2d98-494a-b55b-d6dfce905636,1762767665112960889,3.8143,4.0348,-31.2188,16.125,-37.3125,31.8594,17.3125,-37.9375,0.0939,0.0561,0.994,0.0161,0.0503,0.9986,0.2396,-0.4993,8.1194,0.2715,-0.4563,7.9874
6a48f94a-71f6-485e-b5f4-1a8636d8f195,546eea6e-2d98-494a-b55b-d6dfce905636,1762767665117960889,3.8033,4.0936,-31.1875,16.0625,-37.2812,31.875,17.1875,-38.125,0.0891,0.059,0.9943,0.0219,0.0532,0.9983,0.24,-0.5024,8.1591,0.2605,-0.4751,8.0772
6a48f94a-71f6-485e-b5f4-1a8636d8f195,546eea6e-2d98-494a-b55b-d6dfce905636,1762767665122960889,3.8437,4.0936,-31.1875,16.25,-37.4375,31.8906,17.375,-37.9688,0.0853,0.0434,0.9954,0.0083,0.0376,0.9993,0.2522,-0.4819,8.0627,0.2769,-0.4517,7.9946
6a48f94a-71f6-485e-b5f4-1a8636d8f195,546eea6e-2d98-494a-b55b-d6dfce905636,1762767665127960889,3.8033,3.9319,-31.0938,16.25,-37.5625,31.9531,17.3438,-37.8438,0.0736,0.0415,0.9964,0.0024,0.0347,0.9994,0.2573,-0.4893,8.2013,0.2644,-0.4548,7.8931
6a48f94a-71f6-485e-b5f4-1a8636d8f195,546eea6e-2d98-494a-b55b-d6dfce905636,1762767665132960889,3.8401,4.0899,-31.125,16.2812,-37.4688,31.8906,17.5,-37.9375,0.0804,0.0405,0.9959,0.0112,0.0347,0.9993,0.2632,-0.4832,8.1972,0.2871,-0.4353,7.9246
6a48f94a-71f6-485e-b5f4-1a8636d8f195,546eea6e-2d98-494a-b55b-d6dfce905636,1762767665137961889,3.829,4.1157,-31.2812,16.2812,-37.4688,31.7344,17.5312,-37.875,0.0921,0.0405,0.9949,0.0298,0.0347,0.999,0.2683,-0.4875,8.3029,0.2893,-0.446,8.0689
6a48f94a-71f6-485e-b5f4-1a8636d8f195,546eea6e-2d98-494a-b55b-d6dfce905636,1762767665142961889,3.8621,4.1597,-31.0,16.4375,-37.375,32.0312,17.625,-38.0625,0.0746,0.0268,0.9969,0.0005,0.02,0.9998,0.2712,-0.4688,8.1242,0.3079,-0.4265,8.0553
6a48f94a-71f6-485e-b5f4-1a8636d8f195,546eea6e-2d98-494a-b55b-d6dfce905636,1762767665147961889,3.9099,4.101,-31.25,16.25,-37.5312,31.7969,17.5312,-37.9375,0.0843,0.0386,0.9957,0.0102,0.0337,0.9994,0.2605,-0.49,8.2444,0.2864,-0.4309,7.8675
6a48f94a-71f6-485e-b5f4-1a8636d8f195,546eea6e-2d98-494a-b55b-d6dfce905636,1762767665152961889,3.8217,4.0495,-31.125,16.2188,-37.25,31.8906,17.375,-37.9375,0.094,0.0464,0.9945,0.0171,0.0405,0.999,0.2468,-0.4919,8.1161,0.2725,-0.4585,8.0227
6a48f94a-71f6-485e-b5f4-1a8636d8f195,546eea6e-2d98-494a-b55b-d6dfce905636,1762767665157961889,3.8584,4.1451,-31.0938,16.125,-37.625,31.9688,17.3438,-37.875,0.0677,0.0532,0.9963,0.0034,0.0464,0.9989,0.2418,-0.5015,8.1682,0.2737,-0.4604,8.058
6a48f94a-71f6-485e-b5f4-1a8636d8f195,546eea6e-2d98-494a-b55b-d6dfce905636,1762767665162961889,3.8584,3.9135,-30.9688,16.2188,-37.5,32.0625,17.3438,-38.0,0.0668,0.0503,0.9965,-0.0044,0.0434,0.999,0.2515,-0.4888,8.1314,0.2739,-0.4497,7.9405
6a48f94a-71f6-485e-b5f4-1a8636d8f195,546eea6e-2d98-494a-b55b-d6dfce905636,1762767665167961889,3.8805,4.1708,-31.0625,16.1875,-37.375,32.0,17.3125,-38.0625,0.0745,0.0483,0.996,0.0083,0.0415,0.9991,0.2517,-0.4907,8.156,0.2795,-0.458,8.0952
6a48f94a-71f6-485e-b5f4-1a8636d8f195,546eea6e-2d98-494a-b55b-d6dfce905636,1762767665172961889,3.8474,4.0936,-31.0625,16.4062,-37.5312,31.9688,17.5625,-37.875,0.0746,0.0308,0.9967,-0.0044,0.0268,0.9996,0.2756,-0.4644,8.1233,0.2981,-0.4375,8.0703
6a48f94a-71f6-485e-b5f4-1a8636d8f195,546eea6e-2d98-494a-b55b-d6dfce905636,1762767665177961889,3.8401,4.0201,-31.1875,16.1875,-37.4375,31.8594,17.375,-37.875,0.0843,0.0454,0.9954,0.0073,0.0405,0.9992,0.2496,-0.4919,8.1469,0.27,-0.4441,7.8347
6a48f94a-71f6-485e-b5f4-1a8636d8f195,546eea6e-2d98-494a-b55b-d6dfce905636,1762767665182961889,3.8217,4.1046,-30.9062,16.375,-37.4375,32.1562,17.5625,-38.125,0.0629,0.0317,0.9975,-0.0024,0.0239,0.9997,0.2617,-0.478,8.1235,0.3115,-0.4297,8.1312
6a48f94a-71f6-485e-b5f4-1a8636d8f195,546eea6e-2d98-494a-b55b-d6dfce905636,1762767665187961889,3.829,4.0679,-31.0625,16.25,-37.5,32.0,17.5,-38.0625,0.0726,0.0425,0.9965,0.0005,0.0356,0.9994,0.2539,-0.4824,8.0869,0.2874,-0.436,7.9355
6a48f94a-71f6-485e-b5f4-1a8636d8f195,546eea6e-2d98-494a-b55b-d6dfce905636,1762767665192961889,3.8143,3.9907,-31.0,16.2812,-37.3125,32.0312,17.4688,-38.0625,0.0804,0.0444,0.9958,0.0044,0.0376,0.9993,0.2517,-0.4785,8.0189,0.2952,-0.4431,8.1007
6a48f94a-71f6-485e-b5f4-1a8636d8f195,546eea6e-2d98-494a-b55b-d6dfce905636,1762767665198092889,3.8511,4.0899,-31.1875,16.0625,-37.375,31.875,17.1562,-38.0,0.0852,0.059,0.9946,0.0112,0.0532,0.9985,0.241,-0.5098,8.2523,0.2465,-0.4517,7.6603
6a48f94a-71f6-485e-b5f4-1a8636d8f195,546eea6e-2d98-494a-b55b-d6dfce905636,1762767665203086889,3.8437,4.0348,-31.125,16.375,-37.5,31.9375,17.4688,-38.0,0.0795,0.0347,0.9962,0.0161,0.0278,0.9995,0.2671,-0.4717,8.1113,0.2866,-0.4417,7.9902
6a48f94a-71f6-485e-b5f4-1a8636d8f195,546eea6e-2d98-494a-b55b-d6dfce905636,1762767665208086889,3.8437,4.123,-31.0625,16.375,-37.4375,32.0,17.4688,-38.0625,0.0736,0.0337,0.9967,0.0083,0.0268,0.9996,0.2805,-0.4839,8.3961,0.2888,-0.4363,7.9544
6a48f94a-71f6-485e-b5f4-1a8636d8f195,546eea6e-2d98-494a-b55b-d6dfce905636,1762767665213086889,3.9025,4.1083,-31.125,16.25,-37.625,31.8906,17.4688,-37.875,0.0736,0.0415,0.9964,0.0024,0.0347,0.9994,0.2617,-0.4863,8.2167,0.2808,-0.4429,7.9393
6a48f94a-71f6-485e-b5f4-1a8636d8f195,546eea6e-2d98-494a-b55b-d6dfce905636,1762767665218086889,3.8364,4.0826,-31.0938,16.2188,-37.4375,31.9531,17.4688,-37.9375,0.0785,0.0434,0.996,0.0054,0.0376,0.9993,0.2649,-0.4937,8.3339,0.2822,-0.4431,7.9582
6a48f94a-71f6-485e-b5f4-1a8636d8f195,546eea6e-2d98-494a-b55b-d6dfce905636,1762767665223086889,3.8584,4.1414,-31.0625,16.2812,-37.4375,32.0,17.4688,-37.8125,0.0736,0.0444,0.9963,-0.0044,0.0386,0.9992,0.2632,-0.4851,8.2191,0.2839,-0.4392,7.9333
6a48f94a-71f6-485e-b5f4-1a8636d8f195,546eea6e-2d98-494a-b55b-d6dfce905636,1762767665228086889,3.8731,4.1304,-31.2188,16.25,-37.4375,31.8594,17.5,-38.0,0.0862,0.0425,0.9954,0.0093,0.0366,0.9993,0.2595,-0.4924,8.2611,0.2888,-0.4404,8.0008
6a48f94a-71f6-485e-b5f4-1a8636d8f195,546eea6e-2d98-494a-b55b-d6dfce905636,1762767665233086889,3.8364,4.1597,-31.0,16.0625,-37.1875,32.0,17.2188,-38.0625,0.0842,0.062,0.9945,0.0093,0.0561,0.9984,0.24,-0.5,8.1316,0.2646,-0.4663,8.0243
6a48f94a-71f6-485e-b5f4-1a8636d8f195,546eea6e-2d98-494a-b55b-d6dfce905636,1762767665238086889,3.7996,4.0348,-30.9688,16.0938,-37.25,32.0625,17.2188,-38.0938,0.0803,0.059,0.995,0.0024,0.0522,0.9986,0.2393,-0.498,8.1016,0.2688,-0.4675,8.0836
6a48f94a-71f6-485e-b5f4-1a8636d8f195,546eea6e-2d98-494a-b55b-d6dfce905636,1762767665243087889,3.8437,4.1965,-31.0938,16.2188,-37.5,31.9531,17.4688,-37.9375,0.0736,0.0483,0.9961,0.0063,0.0415,0.9991,0.2581,-0.4917,8.2368,0.2837,-0.4336,7.8679
6a48f94a-71f6-485e-b5f4-1a8636d8f195,546eea6e-2d98-494a-b55b-d6dfce905636,1762767665248087889,3.8878,4.0532,-31.25,16.3125,-37.5312,31.8125,17.4688,-38.125,0.0853,0.0366,0.9957,0.0181,0.0308,0.9994,0.282,-0.4824,8.3958,0.282,-0.4387,7.9064
