section id,recording id,timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm]
2db2f1c4-1d56-4532-8f21-c0a343b54efb,4c300b0a-cbfc-4a25-9b45-4c674d0133c1,1762167920126163298,3.8217,3.829,-30.9688,16.625,-37.9688,32.0312,18.5,-37.75,-0.0909,-0.0795,0.9927,-0.1593,-0.0902,0.9831,0.4075,-0.4199,9.0858,0.4636,-0.3306,8.721
2db2f1c4-1d56-4532-8f21-c0a343b54efb,4c300b0a-cbfc-4a25-9b45-4c674d0133c1,1762167920131159298,3.8401,3.8841,-30.9062,16.4375,-38.0625,32.125,18.25,-37.75,-0.1075,-0.0659,0.992,-0.1643,-0.0766,0.9834,0.3889,-0.4385,9.0865,0.438,-0.3579,8.7369
2db2f1c4-1d56-4532-8f21-c0a343b54efb,4c300b0a-cbfc-4a25-9b45-4c674d0133c1,1762167920136161298,3.8584,3.8841,-30.875,16.375,-38.1562,32.1875,18.1875,-37.8125,-0.1182,-0.0581,0.9913,-0.1673,-0.0688,0.9835,0.3821,-0.4485,9.1224,0.4221,-0.3767,8.7683
2db2f1c4-1d56-4532-8f21-c0a343b54efb,4c300b0a-cbfc-4a25-9b45-4c674d0133c1,1762167920141159298,3.8254,3.8584,-30.75,16.4375,-37.875,32.2812,18.1562,-38.0938,-0.1046,-0.0581,0.9928,-0.1596,-0.0688,0.9848,0.3618,-0.4324,8.7175,0.4155,-0.3743,8.6677
2db2f1c4-1d56-4532-8f21-c0a343b54efb,4c300b0a-cbfc-4a25-9b45-4c674d0133c1,1762167920146162298,3.8915,3.8143,-30.75,16.125,-37.9062,32.3125,17.875,-37.8125,-0.1115,-0.0347,0.9932,-0.1713,-0.0454,0.9842,0.3057,-0.4551,8.3503,0.374,-0.3943,8.4285
2db2f1c4-1d56-4532-8f21-c0a343b54efb,4c300b0a-cbfc-4a25-9b45-4c674d0133c1,1762167920156159298,3.8694,3.8805,-30.75,16.4375,-38.0,32.2812,18.125,-38.1875,-0.1075,-0.0591,0.9924,-0.173,-0.0717,0.9823,0.2644,-0.3914,7.185,0.3452,-0.3245,7.3353
2db2f1c4-1d56-4532-8f21-c0a343b54efb,4c300b0a-cbfc-4a25-9b45-4c674d0133c1,1762167920161159298,3.9393,4.0238,-30.8125,16.4375,-38.2812,32.2188,18.1875,-38.3125,-0.1123,-0.0659,0.9915,-0.1672,-0.0776,0.9829,0.2517,-0.4014,7.1568,0.2666,-0.3152,6.3654
2db2f1c4-1d56-4532-8f21-c0a343b54efb,4c300b0a-cbfc-4a25-9b45-4c674d0133c1,1762167920166159298,3.9907,3.8437,-30.6875,16.6875,-38.3125,32.3125,18.5625,-38.5625,-0.1063,-0.0931,0.99,-0.1725,-0.1048,0.9794,0.1971,-0.3806,6.3274,0.2537,-0.2649,5.6689
2db2f1c4-1d56-4532-8f21-c0a343b54efb,4c300b0a-cbfc-4a25-9b45-4c674d0133c1,1762167920171159298,3.8805,3.3752,-31.0938,16.375,-38.5,31.9062,18.375,-38.5625,-0.0745,-0.0668,0.995,-0.1566,-0.0766,0.9847,0.1383,-0.3879,5.765,0.168,-0.2883,4.9873
2db2f1c4-1d56-4532-8f21-c0a343b54efb,4c300b0a-cbfc-4a25-9b45-4c674d0133c1,1762167920176160298,3.4211,2.4032,-31.1875,16.7188,-38.9375,31.875,18.9375,-39.0,-0.1017,-0.062,0.9929,-0.146,-0.0766,0.9863,0.132,-0.3389,5.1516,-0.0958,-0.1422,0.5066
2db2f1c4-1d56-4532-8f21-c0a343b54efb,4c300b0a-cbfc-4a25-9b45-4c674d0133c1,1762167920181159298,1.8015,1.0546,-30.3438,16.7188,-39.5312,32.6562,18.9062,-38.8125,-0.1974,0.0093,0.9803,-0.2469,-0.0073,0.969,0.0498,-0.333,4.1906,-0.1445,-0.1573,0.1402
2db2f1c4-1d56-4532-8f21-c0a343b54efb,4c300b0a-cbfc-4a25-9b45-4c674d0133c1,1762167920186159298,3.2962,1.2972,-30.5938,19.625,-38.1875,32.4688,19.5,-38.5312,-0.1888,0.0093,0.982,-0.2365,-0.0054,0.9716,-0.0112,-0.0304,0.2099,-0.1033,-0.1093,0.066
2db2f1c4-1d56-4532-8f21-c0a343b54efb,4c300b0a-cbfc-4a25-9b45-4c674d0133c1,1762167920191159298,1.8943,1.8116,-30.8125,18.3125,-38.25,32.1875,19.1875,-37.8125,-0.2839,0.1077,0.9528,-0.3726,0.0853,0.9241,-0.1212,-0.1405,0.2108,-0.1575,-0.1735,0.175
2db2f1c4-1d56-4532-8f21-c0a343b54efb,4c300b0a-cbfc-4a25-9b45-4c674d0133c1,1762167920196159298,1.9329,1.8511,-31.5938,18.1875,-37.4375,31.3281,18.875,-35.25,-0.1975,0.1677,0.9659,-0.1943,0.1484,0.9697,-0.1431,-0.1564,0.1456,-0.1779,-0.183,0.056
2db2f1c4-1d56-4532-8f21-c0a343b54efb,4c300b0a-cbfc-4a25-9b45-4c674d0133c1,1762167920201159298,1.9421,1.852,-30.5625,18.4375,-39.125,32.375,19.25,-36.3125,-0.2569,0.1339,0.9571,-0.3727,0.1087,0.9216,-0.1578,-0.1871,0.3205,-0.1519,-0.1624,0.1148
2db2f1c4-1d56-4532-8f21-c0a343b54efb,4c300b0a-cbfc-4a25-9b45-4c674d0133c1,1762167920206159298,1.5011,1.9311,-32.1875,17.75,-37.8125,30.6562,19.125,-34.25,-0.0787,0.2108,0.9744,0.0513,0.184,0.9816,-0.2593,-0.2771,0.1961,-0.1379,-0.1396,0.0186
2db2f1c4-1d56-4532-8f21-c0a343b54efb,4c300b0a-cbfc-4a25-9b45-4c674d0133c1,1762167920211160298,2.2673,1.9494,-31.8125,19.0312,-37.1875,31.1562,20.1875,-35.9062,-0.2239,0.0454,0.9735,-0.2966,0.0288,0.9546,-0.0987,-0.1025,0.0418,-0.055,-0.0615,0.0707
2db2f1c4-1d56-4532-8f21-c0a343b54efb,4c300b0a-cbfc-4a25-9b45-4c674d0133c1,1762167920216160298,2.2654,1.7831,-30.0,19.375,-37.5625,32.9062,19.8438,-35.9062,-0.3588,0.06,0.9315,-0.3774,0.0347,0.9254,-0.06,-0.0654,0.0596,-0.1168,-0.1255,0.0948
2db2f1c4-1d56-4532-8f21-c0a343b54efb,4c300b0a-cbfc-4a25-9b45-4c674d0133c1,1762167920221160298,2.282,1.7583,-30.75,17.3438,-38.9375,32.2188,18.375,-37.8438,-0.261,0.1888,0.9467,-0.3321,0.1628,0.9291,-0.2256,-0.2603,0.3809,-0.2318,-0.243,0.1234
2db2f1c4-1d56-4532-8f21-c0a343b54efb,4c300b0a-cbfc-4a25-9b45-4c674d0133c1,1762167920226166298,1.9843,1.3459,-30.4375,19.9688,-37.375,32.5625,19.9375,-36.9688,-0.2939,-0.0073,0.9558,-0.3373,-0.0337,0.9408,0.0307,0.028,0.0292,-0.0629,-0.0676,0.0515
2db2f1c4-1d56-4532-8f21-c0a343b54efb,4c300b0a-cbfc-4a25-9b45-4c674d0133c1,1762167920231172298,3.6765,1.1833,-30.0625,21.375,-39.1875,32.9062,20.6875,-38.8125,-0.2896,-0.1019,0.9517,-0.3496,-0.1203,0.9291,0.1192,0.1214,0.024,-0.004,-0.0067,0.0296
2db2f1c4-1d56-4532-8f21-c0a343b54efb,4c300b0a-cbfc-4a25-9b45-4c674d0133c1,1762167920236288298,3.2301,0.9527,-29.6562,20.6875,-37.9688,33.375,19.4062,-37.9062,-0.3068,-0.0376,0.951,-0.3841,-0.061,0.9213,0.0707,0.0711,0.0,-0.0686,-0.0769,0.0906
2db2f1c4-1d56-4532-8f21-c0a343b54efb,4c300b0a-cbfc-4a25-9b45-4c674d0133c1,1762167920241296298,3.0629,1.1263,-30.625,20.0312,-36.5938,32.4375,20.1875,-38.0,-0.1718,-0.1358,0.9757,-0.2074,-0.1522,0.9663,0.0325,0.0295,0.0336,-0.0145,-0.0265,0.1303
