section id,recording id,timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm]
db49e028-d13b-469e-93e9-7c5f606a40cd,c7cb5ad0-7d76-4009-b8dd-6cc2df8760d1,1762168141709569320,3.6177,3.6729,-31.3125,16.5312,-37.4062,31.7031,18.0625,-38.4062,0.2463,0.0688,0.9667,0.1268,0.0698,0.9895,0.2898,-0.4844,8.5038,0.2825,-0.3884,7.3513
db49e028-d13b-469e-93e9-7c5f606a40cd,c7cb5ad0-7d76-4009-b8dd-6cc2df8760d1,1762168141714569320,3.5663,3.524,-31.5,16.4375,-37.3125,31.5469,17.8438,-38.5,0.2734,0.0814,0.9585,0.1709,0.0814,0.9819,0.2722,-0.5078,8.5739,0.2484,-0.3943,7.0418
db49e028-d13b-469e-93e9-7c5f606a40cd,c7cb5ad0-7d76-4009-b8dd-6cc2df8760d1,1762168141719569320,3.7353,3.8731,-31.375,16.0,-37.5938,31.6406,17.3438,-38.875,0.2887,0.13,0.9486,0.1985,0.1319,0.9712,0.2087,-0.561,8.4783,0.2023,-0.46,7.2684
db49e028-d13b-469e-93e9-7c5f606a40cd,c7cb5ad0-7d76-4009-b8dd-6cc2df8760d1,1762168141724569320,3.5167,3.7519,-31.375,16.4062,-37.375,31.6562,17.6562,-38.9375,0.3271,0.1116,0.9384,0.2264,0.1155,0.9672,0.2396,-0.5239,8.3972,0.2234,-0.4292,7.156
db49e028-d13b-469e-93e9-7c5f606a40cd,c7cb5ad0-7d76-4009-b8dd-6cc2df8760d1,1762168141729569320,3.4524,3.4873,-31.375,16.3125,-37.4375,31.6406,17.625,-39.0,0.3484,0.1271,0.9287,0.2533,0.13,0.9586,0.2324,-0.5469,8.5776,0.2092,-0.4265,6.9707
db49e028-d13b-469e-93e9-7c5f606a40cd,c7cb5ad0-7d76-4009-b8dd-6cc2df8760d1,1762168141734569320,3.4542,3.6269,-31.4062,16.5625,-37.25,31.5938,17.875,-38.8125,0.3759,0.1164,0.9193,0.2704,0.1213,0.9551,0.2578,-0.5127,8.4704,0.209,-0.408,6.7612
db49e028-d13b-469e-93e9-7c5f606a40cd,c7cb5ad0-7d76-4009-b8dd-6cc2df8760d1,1762168141739569320,3.5112,3.6104,-31.2188,16.625,-37.3125,31.8125,17.7812,-39.0,0.3724,0.1145,0.921,0.2751,0.1184,0.9541,0.244,-0.5098,8.2858,0.1993,-0.4265,6.8624
db49e028-d13b-469e-93e9-7c5f606a40cd,c7cb5ad0-7d76-4009-b8dd-6cc2df8760d1,1762168141744570320,3.6141,3.66,-31.2812,16.5312,-37.375,31.75,17.6562,-38.875,0.3751,0.1339,0.9173,0.2828,0.1387,0.9491,0.2296,-0.5254,8.3039,0.1735,-0.4448,6.7835
db49e028-d13b-469e-93e9-7c5f606a40cd,c7cb5ad0-7d76-4009-b8dd-6cc2df8760d1,1762168141749569320,3.5736,3.6177,-31.0625,16.3125,-37.0312,32.0,17.5,-38.9688,0.3606,0.1532,0.9201,0.2699,0.1571,0.95,0.1836,-0.5474,8.0479,0.1722,-0.4775,7.1366
db49e028-d13b-469e-93e9-7c5f606a40cd,c7cb5ad0-7d76-4009-b8dd-6cc2df8760d1,1762168141754569320,3.4064,3.6784,-31.0938,16.5,-37.1875,31.9375,17.625,-38.9375,0.3543,0.1368,0.9251,0.2632,0.1406,0.9544,0.2184,-0.5249,8.1752,0.1893,-0.4619,7.1485
db49e028-d13b-469e-93e9-7c5f606a40cd,c7cb5ad0-7d76-4009-b8dd-6cc2df8760d1,1762168141759569320,3.4322,3.6453,-31.1875,16.25,-37.125,31.875,17.5625,-39.0625,0.3578,0.1542,0.921,0.2774,0.1561,0.948,0.1796,-0.5586,8.131,0.1801,-0.4497,6.9103
