section id,recording id,timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm]
79fbd2fb-03b6-49a9-8027-35f160333e28,5326eb6b-d5e0-463a-9acc-99a3d3586870,1759919710421117001,3.2999,3.1198,-31.2188,14.6875,-39.625,31.7031,16.3125,-37.9375,0.0903,-0.1387,0.9862,-0.2319,-0.1503,0.961,0.6743,-0.4761,12.7345,0.6929,-0.4648,12.8229
79fbd2fb-03b6-49a9-8027-35f160333e28,5326eb6b-d5e0-463a-9acc-99a3d3586870,1759919710426129001,3.3127,3.1713,-31.125,14.5312,-39.625,31.75,16.0938,-38.25,0.0866,-0.1252,0.9883,-0.2221,-0.1368,0.9654,0.6362,-0.4807,12.3485,0.6714,-0.4929,12.8899
79fbd2fb-03b6-49a9-8027-35f160333e28,5326eb6b-d5e0-463a-9acc-99a3d3586870,1759919710431117001,3.3109,3.151,-31.0,14.875,-39.75,31.8594,16.4062,-38.0625,0.068,-0.1522,0.986,-0.2314,-0.1648,0.9588,0.6929,-0.4392,12.5361,0.729,-0.45,13.0755
79fbd2fb-03b6-49a9-8027-35f160333e28,5326eb6b-d5e0-463a-9acc-99a3d3586870,1759919710436245001,3.3201,3.1602,-31.125,14.75,-39.5625,31.7812,16.3125,-37.9375,0.0864,-0.1416,0.9861,-0.2318,-0.1542,0.9605,0.6768,-0.4641,12.6285,0.6924,-0.4592,12.7544
79fbd2fb-03b6-49a9-8027-35f160333e28,5326eb6b-d5e0-463a-9acc-99a3d3586870,1759919710441242001,3.2631,3.1235,-31.0938,14.6562,-39.6875,31.7969,16.2188,-37.875,0.073,-0.1339,0.9883,-0.2425,-0.1445,0.9593,0.6582,-0.4675,12.453,0.6782,-0.4751,12.7686
79fbd2fb-03b6-49a9-8027-35f160333e28,5326eb6b-d5e0-463a-9acc-99a3d3586870,1759919710446242001,3.2411,3.0904,-31.0938,14.6562,-39.5312,31.7969,16.4062,-37.7812,0.0826,-0.1387,0.9869,-0.2414,-0.1493,0.9589,0.6577,-0.4636,12.4036,0.709,-0.4524,12.8702
79fbd2fb-03b6-49a9-8027-35f160333e28,5326eb6b-d5e0-463a-9acc-99a3d3586870,1759919710451242001,3.3109,3.1492,-31.1875,14.625,-39.6562,31.7188,16.25,-37.875,0.0836,-0.131,0.9879,-0.2359,-0.1435,0.9611,0.646,-0.4744,12.3894,0.6792,-0.4761,12.7908
79fbd2fb-03b6-49a9-8027-35f160333e28,5326eb6b-d5e0-463a-9acc-99a3d3586870,1759919710456242001,3.3366,3.1951,-31.0625,14.5625,-39.75,31.8438,16.125,-37.9062,0.0682,-0.131,0.989,-0.2416,-0.1435,0.9597,0.6587,-0.4756,12.549,0.6577,-0.4832,12.6227
79fbd2fb-03b6-49a9-8027-35f160333e28,5326eb6b-d5e0-463a-9acc-99a3d3586870,1759919710461242001,3.3109,3.1676,-31.0938,14.8438,-39.6562,31.7812,16.5,-38.0,0.0737,-0.158,0.9847,-0.2349,-0.1706,0.9569,0.6768,-0.4561,12.5383,0.7241,-0.4385,12.8904
79fbd2fb-03b6-49a9-8027-35f160333e28,5326eb6b-d5e0-463a-9acc-99a3d3586870,1759919710466242001,3.2448,3.2264,-31.0625,14.7188,-39.6875,31.8125,16.2812,-38.125,0.0758,-0.1435,0.9867,-0.2281,-0.1542,0.9614,0.6738,-0.4617,12.5674,0.6963,-0.468,12.898
