section id,recording id,timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm]
5140502d-ea98-49dc-84f9-345e9630b20e,c6182466-ca39-4b66-ab45-5a7df317499e,1760515885464599352,3.5865,3.1125,-31.0938,16.5938,-38.9062,31.875,18.7812,-38.2812,-0.0868,-0.1116,0.99,-0.1511,-0.1223,0.9809,0.4492,-0.4231,9.5871,0.4685,-0.3196,8.6544
5140502d-ea98-49dc-84f9-345e9630b20e,c6182466-ca39-4b66-ab45-5a7df317499e,1760515885469600352,3.5498,3.1419,-31.1875,16.6875,-38.8125,31.8438,18.75,-38.4375,-0.0712,-0.1174,0.9905,-0.1424,-0.1281,0.9815,0.4568,-0.4128,9.5575,0.4624,-0.3118,8.4997
5140502d-ea98-49dc-84f9-345e9630b20e,c6182466-ca39-4b66-ab45-5a7df317499e,1760515885474599352,3.5681,3.0684,-31.0625,16.8125,-38.9062,31.9688,18.875,-38.375,-0.0924,-0.1223,0.9882,-0.1528,-0.1329,0.9793,0.4712,-0.3948,9.5178,0.4707,-0.3076,8.5469
5140502d-ea98-49dc-84f9-345e9630b20e,c6182466-ca39-4b66-ab45-5a7df317499e,1760515885479600352,3.5387,3.1602,-30.8125,16.5625,-38.8438,32.1562,18.75,-38.4688,-0.1032,-0.1048,0.9891,-0.1646,-0.1174,0.9793,0.4355,-0.4231,9.4343,0.4775,-0.3257,8.8231
5140502d-ea98-49dc-84f9-345e9630b20e,c6182466-ca39-4b66-ab45-5a7df317499e,1760515885484600352,3.6416,3.1198,-31.1875,16.5625,-38.9688,31.8125,18.7188,-38.5625,-0.079,-0.1116,0.9906,-0.1386,-0.1232,0.9826,0.4429,-0.4272,9.5624,0.4685,-0.334,8.8135
5140502d-ea98-49dc-84f9-345e9630b20e,c6182466-ca39-4b66-ab45-5a7df317499e,1760515885489600352,3.6049,3.2337,-31.2188,16.75,-38.8125,31.8125,18.875,-38.4375,-0.077,-0.1232,0.9894,-0.1317,-0.1358,0.9819,0.4663,-0.4092,9.6233,0.48,-0.3191,8.7777
5140502d-ea98-49dc-84f9-345e9630b20e,c6182466-ca39-4b66-ab45-5a7df317499e,1760515885494600352,3.5736,3.1143,-31.0625,16.7188,-38.875,31.9375,18.875,-38.5312,-0.0876,-0.1232,0.9885,-0.1461,-0.1339,0.9802,0.4688,-0.4109,9.6697,0.4744,-0.3159,8.6796
5140502d-ea98-49dc-84f9-345e9630b20e,c6182466-ca39-4b66-ab45-5a7df317499e,1760515885499600352,3.5755,3.1694,-31.0938,16.75,-38.8125,31.8906,18.9062,-38.5,-0.0769,-0.1281,0.9888,-0.1422,-0.1387,0.9801,0.46,-0.4001,9.4517,0.4839,-0.3105,8.7272
5140502d-ea98-49dc-84f9-345e9630b20e,c6182466-ca39-4b66-ab45-5a7df317499e,1760515885504600352,3.6085,3.1345,-30.9062,16.7188,-38.9062,32.125,18.8125,-38.5625,-0.1059,-0.1232,0.9867,-0.1585,-0.1358,0.978,0.4507,-0.4077,9.4321,0.4875,-0.3169,8.8384
5140502d-ea98-49dc-84f9-345e9630b20e,c6182466-ca39-4b66-ab45-5a7df317499e,1760515885509600352,3.5865,3.1804,-31.0938,16.8438,-38.7812,31.9062,18.9062,-38.3438,-0.0798,-0.1281,0.9885,-0.146,-0.1387,0.9795,0.468,-0.4001,9.5419,0.4805,-0.3127,8.7131
