section id,recording id,timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm]
28085b85-9cf7-417e-ad19-a022361acb12,f1bc055b-8318-4f4d-be5d-4b4f5e7b3837,1759915611260268906,3.3513,3.3991,-31.375,15.1875,-39.25,31.5781,18.875,-39.75,-0.0103,0.0259,0.9996,-0.1464,0.0161,0.9891,0.1887,-0.4199,6.6725,0.2106,-0.3784,6.4502
28085b85-9cf7-417e-ad19-a022361acb12,f1bc055b-8318-4f4d-be5d-4b4f5e7b3837,1759915611265269906,3.4799,3.3862,-31.2812,15.125,-38.9688,31.6875,18.5938,-39.4688,-0.0132,0.0483,0.9987,-0.1579,0.0386,0.9867,0.1923,-0.4417,6.9538,0.1891,-0.4092,6.5568
28085b85-9cf7-417e-ad19-a022361acb12,f1bc055b-8318-4f4d-be5d-4b4f5e7b3837,1759915611270269906,3.4616,3.344,-31.3125,15.4688,-39.0,31.6562,18.9375,-39.8125,-0.0122,0.02,0.9997,-0.1503,0.0102,0.9886,0.2249,-0.4172,7.0386,0.2375,-0.3787,6.7489
28085b85-9cf7-417e-ad19-a022361acb12,f1bc055b-8318-4f4d-be5d-4b4f5e7b3837,1759915611275277906,3.4138,3.3679,-31.5312,15.375,-38.875,31.4375,18.875,-39.6875,0.0063,0.0337,0.9994,-0.1222,0.0249,0.9922,0.2441,-0.4299,7.392,0.2303,-0.384,6.7294
28085b85-9cf7-417e-ad19-a022361acb12,f1bc055b-8318-4f4d-be5d-4b4f5e7b3837,1759915611280269906,3.4395,3.3715,-31.5,15.25,-39.1562,31.4844,18.8125,-39.5,-0.0151,0.0405,0.9991,-0.1387,0.0308,0.9899,0.2386,-0.4504,7.5608,0.2196,-0.3975,6.7608
28085b85-9cf7-417e-ad19-a022361acb12,f1bc055b-8318-4f4d-be5d-4b4f5e7b3837,1759915611285269906,3.4542,3.4542,-31.3125,15.3438,-39.2188,31.625,18.9062,-39.75,-0.0268,0.0347,0.999,-0.1338,0.0239,0.9907,0.2573,-0.4385,7.6323,0.2556,-0.3843,7.0097
28085b85-9cf7-417e-ad19-a022361acb12,f1bc055b-8318-4f4d-be5d-4b4f5e7b3837,1759915611290269906,3.3917,3.4175,-31.375,15.3125,-38.9375,31.5781,18.7812,-39.625,-0.0132,0.0473,0.9988,-0.1309,0.0376,0.9907,0.243,-0.4463,7.5627,0.2412,-0.4033,7.0632
28085b85-9cf7-417e-ad19-a022361acb12,f1bc055b-8318-4f4d-be5d-4b4f5e7b3837,1759915611295269906,3.3991,3.3458,-31.5,15.125,-39.0625,31.4844,18.6875,-39.5,-0.0132,0.06,0.9981,-0.1279,0.0512,0.9905,0.2639,-0.4749,8.112,0.2321,-0.3984,6.9083
28085b85-9cf7-417e-ad19-a022361acb12,f1bc055b-8318-4f4d-be5d-4b4f5e7b3837,1759915611300269906,3.2944,3.3568,-31.2812,15.2812,-38.8125,31.7031,18.7188,-39.375,-0.0151,0.0522,0.9985,-0.1463,0.0425,0.9883,0.2686,-0.4519,7.9059,0.2532,-0.4067,7.2327
28085b85-9cf7-417e-ad19-a022361acb12,f1bc055b-8318-4f4d-be5d-4b4f5e7b3837,1759915611305272906,3.3862,3.3826,-31.2812,15.1562,-38.8125,31.6875,18.5938,-39.4375,-0.0151,0.061,0.998,-0.1443,0.0512,0.9882,0.2507,-0.468,7.8904,0.2274,-0.4209,7.1076
